Response ID,Time,CONSENTIMIENTO INFORMADO ,PBAT1,PBAT2,PBAT3,PBAT4,PBAT5,PBAT6,PBAT7,PBAT8,PBAT9,PBAT10,PBAT11,PBAT12,PBAT13,PBAT14,PBAT15,PBAT16,PBAT17,PBAT18,STOP1,STOP2,STOP3,STOP4,STOP5,HEALTH,VITAL1,VITAL2,VITAL3,NEED1,NEED2,NEED3,NEED4,NEED5,NEED6,Sexo,Grupo de edad,Clase Social,Ingresos Mensuales en el Hogar,Ocupación,Tamaño del Municipio,Nivel de estudios,Provincia,CCAA,Región,Áreas Nielsen
29,12/3/24,ACEPTO,85,10,85,0,70,100,10,90,15,100,50,20,85,10,90,85,0,10,70,90,76,100,80,Buena,80,85,30,65,20,76,10,76,29,Hombre,De 25 a 34 años,2-Media,3-Más de 3.000 €,1-Trabaja,1-Menos de 50.000 hab,Medios,Barcelona,Cataluña,Noreste,Noreste
30,12/3/24,ACEPTO,100,38,62,47,36,78,51,51,48,50,51,37,64,40,69,64,40,40,55,54,51,51,50,Regular,52,49,51,50,51,47,56,55,51,Mujer,De 25 a 34 años,2-Media,2-De 1.800 a 3.000 €,1-Trabaja,1-Menos de 50.000 hab,Medios,La Rioja,Rioja,Norte,Norte
31,12/3/24,ACEPTO,75,29,75,50,67,71,68,71,78,43,73,63,89,34,86,81,27,38,20,33,34,34,55,Buena,76,75,70,80,80,89,35,80,11,Mujer,De 55 a 64 años,1-Alta,2-De 1.800 a 3.000 €,1-Trabaja,Más de 200.000 hab,Superiores,Alicante,C. Valenciana,Este,Levante
32,12/3/24,ACEPTO,78,24,96,61,50,75,66,78,11,81,95,2,79,10,95,93,0,1,0,0,0,0,1,Muy buena,86,86,96,85,55,58,0,73,0,Hombre,De 35 a 44 años,2-Media,2-De 1.800 a 3.000 €,1-Trabaja,Más de 200.000 hab,Superiores,Granada,Andalucía,Sur,Sur
33,12/3/24,ACEPTO,71,79,34,50,38,64,67,73,67,50,50,73,68,74,76,67,71,79,44,51,82,65,51,Buena,50,57,50,61,50,64,38,59,24,Hombre,De 35 a 44 años,3-Baja,2-De 1.800 a 3.000 €,1-Trabaja,Más de 200.000 hab,Superiores,Barcelona,Cataluña,Noreste,Noreste
35,12/3/24,ACEPTO,79,40,74,53,47,80,41,77,71,73,55,42,72,35,80,81,12,13,7,41,45,9,16,Buena,41,73,72,65,17,71,25,74,15,Mujer,De 35 a 44 años,2-Media,3-Más de 3.000 €,1-Trabaja,Más de 200.000 hab,Superiores,Valencia,C. Valenciana,Este,Levante
36,12/3/24,ACEPTO,53,59,57,51,58,43,68,59,66,33,33,39,42,44,59,42,45,66,66,66,76,73,40,Mala,36,36,61,33,63,35,66,36,68,Mujer,De 55 a 64 años,3-Baja,1-Menos de 1.800 €,No trabaja,De 50.000 a 200.000 hab,Medios,Orense,Galicia,Norte,Noroeste
37,12/3/24,ACEPTO,73,44,69,39,39,74,50,70,43,46,59,44,60,44,65,62,42,46,55,50,50,55,47,Regular,45,48,47,50,43,57,40,59,50,Hombre,De 45 a 54 años,1-Alta,2-De 1.800 a 3.000 €,1-Trabaja,De 50.000 a 200.000 hab,Medios,Toledo,C. La Mancha,Centro,Centro
38,12/3/24,ACEPTO,75,61,76,73,84,80,66,68,75,74,77,27,67,30,71,72,30,28,35,35,64,42,41,Regular,71,71,71,71,70,71,72,74,75,Hombre,De 65 a 75 años,2-Media,2-De 1.800 a 3.000 €,No trabaja,1-Menos de 50.000 hab,Superiores,Barcelona,Cataluña,Noreste,Noreste
39,12/3/24,ACEPTO,77,28,79,70,33,57,31,64,15,60,41,37,62,27,72,65,40,35,25,19,25,59,57,Muy buena,69,72,68,61,31,67,29,69,32,Mujer,De 18 a 24 años,2-Media,2-De 1.800 a 3.000 €,No trabaja,De 50.000 a 200.000 hab,Superiores,Guadalajara,C. La Mancha,Centro,Centro
40,12/3/24,ACEPTO,38,0,79,0,50,74,13,85,9,59,14,0,50,0,93,67,0,50,50,20,20,38,51,Buena,50,50,69,74,20,94,0,87,0,Mujer,De 55 a 64 años,2-Media,1-Menos de 1.800 €,1-Trabaja,De 50.000 a 200.000 hab,Medios,Burgos,C. León,Centro,Norte
41,12/3/24,ACEPTO,64,100,35,65,32,100,100,62,0,87,76,95,61,39,39,100,0,39,79,83,63,80,61,Buena,70,77,75,72,75,77,20,66,58,Mujer,De 45 a 54 años,2-Media,3-Más de 3.000 €,1-Trabaja,1-Menos de 50.000 hab,Medios,Huesca,Aragón,Noreste,Noreste
42,12/3/24,ACEPTO,77,0,75,20,19,40,0,75,0,67,59,0,70,0,82,81,34,0,32,66,51,13,0,Regular,45,87,86,71,9,86,11,92,5,Mujer,De 35 a 44 años,2-Media,1-Menos de 1.800 €,1-Trabaja,1-Menos de 50.000 hab,Superiores,"Coruña, La",Galicia,Norte,Noroeste
43,12/3/24,ACEPTO,83,52,56,100,55,69,48,48,32,52,50,52,46,49,67,50,50,55,23,24,50,52,55,Buena,46,54,50,47,52,52,57,50,56,Mujer,De 65 a 75 años,3-Baja,1-Menos de 1.800 €,1-Trabaja,Más de 200.000 hab,Medios,Barcelona,Cataluña,Noreste,Noreste
